author,title,publish_date,collect_date,likes,comments,saves,shares,image_count,has_mp3,mp4_count,commit,source_commit_url,topic,main_emotion,entry,title_type,ending,record_style,notes,publish_dt,collect_dt,age_days,comments_per_like,saves_per_like,shares_per_like,deep_interactions,deep_per_like,likes_per_day_proxy,like_rank,share_rank,save_rank,comment_rank,selection_reason
鼠鼠脑洞批发,香巴拉,2026-07-19 11:31:10,2026-07-30,127124,1220,16150,18406,27,True,0,f307a867c1adf62ebe35649f04d13975fe5899b8,https://github.com/houghtongasthini-max/xiaoshujiang/commit/f307a867c1adf62ebe35649f04d13975fe5899b8,神话秘境/家族,敬畏+亲情,继承祖辈研究线索,第一人称前提,神话世界确认,亲历调查,,2026-07-19 11:31:10,2026-07-30,10.520023148148148,0.0095969289827255,0.1270413139926371,0.1447877662754476,35776,0.2814260092508102,12084.003828677676,1,4,1,4,全库点赞Top15；全库分享Top15；全库收藏Top15；全库评论Top15
浮光纪事,老师失踪两年后，我在藏北发现了…,2026-07-20 14:09:51,2026-07-30,85817,845,8471,25333,27,True,0,c8ba9f97b6b4173fed511c0554e184c5f235f3e9,https://github.com/houghtongasthini-max/xiaoshujiang/commit/c8ba9f97b6b4173fed511c0554e184c5f235f3e9,师生/藏北探索,悬疑+悲伤+敬畏,寻找失踪老师,关系结果型,遗留证据+开放,亲历调查,,2026-07-20 14:09:51,2026-07-30,9.409826388888888,0.0098465339035389,0.0987100457951221,0.2951979211578125,34649,0.4037545008564737,9119.934465670123,2,3,5,9,全库点赞Top15；全库分享Top15；全库收藏Top15；全库评论Top15
浮光纪事,二手CCD未清存储卡,2026-07-23 12:26:46,2026-07-30,84199,1135,5938,15558,25,True,4,9b6555077bf04dd5e7e536f369002b5c65e1eb6e,https://github.com/houghtongasthini-max/xiaoshujiang/commit/9b6555077bf04dd5e7e536f369002b5c65e1eb6e,旧影像/空间异常,悬疑+认知不安,买到二手相机,物件异常型,现实重分类,旧影像+亲历,,2026-07-23 12:26:46,2026-07-30,6.481412037037037,0.0134799700709034,0.0705234028907706,0.1847765412890889,22631,0.2687799142507631,12990.842044736191,3,6,9,5,全库点赞Top15；全库分享Top15；全库收藏Top15；全库评论Top15
鼠鼠脑洞批发,东南亚海钓暴风雨,2026-07-10 12:18:04,2026-07-30,76543,1040,5581,15564,21,True,0,f2746f182c4be8964246e8b9e3bffb03cffca11a,https://github.com/houghtongasthini-max/xiaoshujiang/commit/f2746f182c4be8964246e8b9e3bffb03cffca11a,海洋探险,恐惧+敬畏,留学生海钓,第一人称前提,未知海上结果,亲历记录,,2026-07-10 12:18:04,2026-07-30,19.487453703703704,0.0135871340292384,0.072913264439596,0.2033366865683341,22185,0.2898370850371686,3927.809202977224,4,5,10,7,全库点赞Top15；全库分享Top15；全库收藏Top15；全库评论Top15
Zayn,尤阁寨的羽化,2026-07-22 07:00:00,2026-07-30,70797,1814,7592,27728,28,True,0,1d8f48d92d14e26510ce6ab45a0159ef0ce7a551,https://github.com/houghtongasthini-max/xiaoshujiang/commit/1d8f48d92d14e26510ce6ab45a0159ef0ce7a551,心理/生物档案,恐惧+真伪争议,回收相机底片,概念标题,照片并非光学记录,相机档案,,2026-07-22 07:00:00,2026-07-30,7.708333333333333,0.0256225546280209,0.1072361823241097,0.3916550136305211,37134,0.5245137505826518,9184.475675675676,5,2,6,2,全库点赞Top15；全库分享Top15；全库收藏Top15；全库评论Top15
鼠鼠脑洞批发,大巴上的奇怪女人,2026-07-20 09:25:08,2026-07-30,70682,2461,3825,54516,25,True,0,c5a88d1a459201bd75737786fb76332aec962950,https://github.com/houghtongasthini-max/xiaoshujiang/commit/c5a88d1a459201bd75737786fb76332aec962950,日常空间怪谈,微恐,乘坐长途大巴,第一人称前提,身份重分类/近身威胁,亲历记录,,2026-07-20 09:25:08,2026-07-30,9.607546296296295,0.0348179168670948,0.0541156164228516,0.7712854757929883,60802,0.8602190090829348,7356.925256477594,6,1,16,1,全库点赞Top15；全库分享Top15；全库评论Top15
鼠鼠脑洞批发,日本黑帮卖花,2026-07-18 11:32:43,2026-07-30,69626,365,9601,5889,24,True,0,e15cc523f42e0d3c6a939217dc4d617417f84689,https://github.com/houghtongasthini-max/xiaoshujiang/commit/e15cc523f42e0d3c6a939217dc4d617417f84689,社会奇幻/黑帮,悬疑+温情,年轻人被卷入卖花,第一人称前提,关系/身份结果,亲历记录,,2026-07-18 11:32:43,2026-07-30,11.51894675925926,0.0052422945451411,0.137893890213426,0.0845804728118806,15855,0.2277166575704478,6044.476240332705,7,12,2,17,全库点赞Top15；全库分享Top15；全库收藏Top15
鼠鼠脑洞批发,哀牢山登山与未知生物,2026-07-16 13:15:43,2026-07-30,65472,1087,6280,10970,27,True,0,20b53190d818132458bdf05f4499598e67a1ace3,https://github.com/houghtongasthini-max/xiaoshujiang/commit/20b53190d818132458bdf05f4499598e67a1ace3,山地探险,恐惧+敬畏,学生户外调查,第一人称前提,巨物/神话重分类,亲历记录,,2026-07-16 13:15:43,2026-07-30,13.447418981481482,0.0166025171065493,0.0959188660801564,0.167552541544477,18337,0.2800739247311828,4868.740989639861,8,8,7,6,全库点赞Top15；全库分享Top15；全库收藏Top15；全库评论Top15
鼠鼠脑洞批发,奈良樱花岔路与河神,2026-07-11 17:04:42,2026-07-30,55771,840,5457,12046,22,True,0,8178be55d206a6c56b8a9d0adc8bbf0344f18545,https://github.com/houghtongasthini-max/xiaoshujiang/commit/8178be55d206a6c56b8a9d0adc8bbf0344f18545,旅行/神怪,微恐+浪漫,同学旅行,第一人称前提,神灵惩罚/余味,亲历记录,,2026-07-11 17:04:42,2026-07-30,18.288402777777776,0.0150615911495221,0.0978465510749314,0.2159903892704093,18343,0.3288985314948629,3049.528199792674,9,7,12,10,全库点赞Top15；全库分享Top15；全库收藏Top15；全库评论Top15
鼠鼠脑洞批发,宾夕法尼亚失踪家庭邮件,2026-07-23 10:33:12,2026-07-30,52740,573,9042,9755,29,True,0,78806d26bf942cdc2d747fa76c012bc6738fbc73,https://github.com/houghtongasthini-max/xiaoshujiang/commit/78806d26bf942cdc2d747fa76c012bc6738fbc73,失踪案/调查,悬疑+微恐,侦探收到旧案邮件,第一人称前提,时间与身份重分类,调查档案,,2026-07-23 10:33:12,2026-07-30,6.560277777777777,0.0108646188850967,0.1714448236632537,0.1849639742131209,19370,0.3672734167614713,8039.29372909345,10,9,3,13,全库点赞Top15；全库分享Top15；全库收藏Top15；全库评论Top15
