作者,层级,作品,点赞,评论,收藏,分享,图数,主情绪,记录方式,来源
L-Ruins,高1,西藏无人山路的人面熊,41165,1270,5025,7876,25,微恐+身份重分类,手机亲历,https://github.com/houghtongasthini-max/xiaoshujiang/commit/21a728e2a6e305bfa396d1913a59a991ed97a0c3
L-Ruins,高2,2004除夕夜的夕兽,7224,140,2436,744,28,恐惧+怀旧,梦境回忆,https://github.com/houghtongasthini-max/xiaoshujiang/commit/edb71d4fe376491734f7a29df63a16efe8d85604
L-Ruins,中位,废弃木屋笔仙,587,14,142,144,17,微恐,手机亲历,https://github.com/houghtongasthini-max/xiaoshujiang/commit/e9c6e525deb70d8ad85b80bd619ab346fdeafd5d
L-Ruins,低,18岁杀蛇后蛇站着等我,87,6,22,9,23,微恐,手机+梦境,https://github.com/houghtongasthini-max/xiaoshujiang/commit/27998a5fee5ab28021f5684e0892a56bdb7976e9
Zayn,高1,尤阁寨的羽化,70797,1814,7592,27728,28,恐惧+真伪争议,相机档案,https://github.com/houghtongasthini-max/xiaoshujiang/commit/1d8f48d92d14e26510ce6ab45a0159ef0ce7a551
Zayn,高2,海渊371绝对坠落,41967,564,8477,3749,29,敬畏+悲壮,回收影像档案,https://github.com/houghtongasthini-max/xiaoshujiang/commit/acc91efa032c6cfc42e313356d87d83acdf61bbc
Zayn,中位,桃花源记,6345,107,1422,400,26,敬畏+恐惧,调查档案,https://github.com/houghtongasthini-max/xiaoshujiang/commit/0cc6b85c102d6e80f2503f0aef684311758f12dc
Zayn,低,痴迷：榕树结发,859,52,104,463,22,微恐+厌恶,档案重建,https://github.com/houghtongasthini-max/xiaoshujiang/commit/0098e381c27ccdc2b95c718b9d61a33b87fcf4b7
怪诞收容局,高1,一夜复燃的长城烽火,6587,60,1680,361,30,敬畏+悲壮+荣耀,工作记录+无人机,https://github.com/houghtongasthini-max/xiaoshujiang/commit/8137949b9df537830277a45da27b3d2a3cb87cc7
怪诞收容局,高2,在万米海底接上师傅没修完的光缆,1781,18,575,41,21,敬畏+传承,任务相机+剧本,https://github.com/houghtongasthini-max/xiaoshujiang/commit/0b7f53b34c7a3c150906252d6f2612f630f337c2
怪诞收容局,中位,零号线：下一站，遗忘,266,14,52,8,24,治愈+遗憾,第三人称剧本化,https://github.com/houghtongasthini-max/xiaoshujiang/commit/249b7be9a30d13c7523afec5889d77c12826748b
怪诞收容局,低,格式化前旧手机把没发出的话发出,9,3,0,3,28,温情+遗憾,工作记录+情感剧本,https://github.com/houghtongasthini-max/xiaoshujiang/commit/47ab3399eafa0f9da57b3b0aeee5a7fa12d52c2e
浮光纪事,高1,老师失踪两年后，我在藏北发现了…,85817,845,8471,25333,27,悬疑+悲伤+敬畏,亲历调查,https://github.com/houghtongasthini-max/xiaoshujiang/commit/c8ba9f97b6b4173fed511c0554e184c5f235f3e9
浮光纪事,高2,二手CCD未清存储卡,84199,1135,5938,15558,25,悬疑+认知不安,旧影像+亲历,https://github.com/houghtongasthini-max/xiaoshujiang/commit/9b6555077bf04dd5e7e536f369002b5c65e1eb6e
浮光纪事,中位,二手CCD未清存储卡,84199,1135,5938,15558,25,悬疑+认知不安,旧影像+亲历,https://github.com/houghtongasthini-max/xiaoshujiang/commit/9b6555077bf04dd5e7e536f369002b5c65e1eb6e
浮光纪事,低,第一次田野调查，我们发现了…,12673,714,1283,8693,36,悬疑+敬畏,工作纪录+多源,https://github.com/houghtongasthini-max/xiaoshujiang/commit/8c52872618b0fea18afd91ebf1d08d4da2e84a1f
鼠鼠脑洞批发,高1,香巴拉,127124,1220,16150,18406,27,敬畏+亲情,亲历调查,https://github.com/houghtongasthini-max/xiaoshujiang/commit/f307a867c1adf62ebe35649f04d13975fe5899b8
鼠鼠脑洞批发,高2,东南亚海钓暴风雨,76543,1040,5581,15564,21,恐惧+敬畏,亲历记录,https://github.com/houghtongasthini-max/xiaoshujiang/commit/f2746f182c4be8964246e8b9e3bffb03cffca11a
鼠鼠脑洞批发,中位,南极冬季观测,45658,614,5103,5544,30,悬疑+敬畏,工作记录,https://github.com/houghtongasthini-max/xiaoshujiang/commit/228ad18d64618dd1c869be00c3031d97d2c942c5
鼠鼠脑洞批发,低,德国留学与瘦长鬼影,4548,108,484,623,30,微恐,亲历记录,https://github.com/houghtongasthini-max/xiaoshujiang/commit/a1d733759868f5869a4cf20889220f8badcc8072
